Id|Date|Title|Text|
0|06 de noviembre de 2019, 20:46|INE sanciona a nueve partidos políticos con 586 millones de pesos|  La sanciones giran en torno a 43 conductas distintas, de las cuales las más reiterativas son las cuentas por cobrar con antigüedad mayor a un año -con una sanción total de 118.48 millones de pesos-, y las cuentas por pagar con una antigüedad mayor a un año -con una sanción de 111.14 millones de pesos-. Benito Nacif, presidente de la Comisión de Fiscalización, informó que la auditoría que realizó el INE abarcó recursos por un total de 33,500 millones de pesos aproximadamente, los cuales fueron ejercidos por partidos políticos en este ejercicio ordinario de 2018: 17,000 millones de pesos de ingresos y 16,500 millones de pesos de egresos. En total, el INE fiscalizó 33,500 millones de pesos a través de 627 informes. Se indicó que  99.9% de los gastos de los partidos fue reportado. El instituto político más sancionado fue Morena con 238.8 millones de pesos en multas; seguido del PAN, con una sanción de 69 millones de pesos y el PRD, al cual el INE le impuso una multa de 65.5 millones de pesos por irregularidades en su fiscalización. El consejero presidente del INE Lorenzo Córdova destacó que 68% de las sanciones que propuso la Comisión de Fiscalización corresponden a faltas cometidas por las representaciones locales de los partidos políticos nacionales, mientras que únicamente el 32% deriva de faltas atribuibles a los comités ejecutivos nacionales. kg  |
1|05 de noviembre de 2019, 19:29|Senadores aplazan otra vez la votación para designar a titular de la CNDH|          El Pleno del Senado de la República aprobó retirar del orden del día de este martes 5 de noviembre la tercera votación de la terna para designar al próximo titular de la Comisión Nacional de Derechos Humanos (CNDH), por lo que se pospuso hasta la próxima sesión que se realizará este jueves. Pese a la exigencia de la oposición de la Cámara Alta de cumplir con el acuerdo del pasado 30 de octubre por el que se tenía que votar por tercera vez la terna compuesta por Rosario Piedra, José de Jesús Orozco y Arturo Peimbert, con 66 votos a favor y 29 en contra se aprobó retirar la votación de este martes. La solicitud de posponer el proceso de elección fue realizada por el presidente de la Comisión de Justicia del Senado, Julio Menchaca de Morena, bajo el argumento de contar con mayor tiempo para alcanzar un consenso entre las distintas bancadas. Sin embargo, tanto Acción Nacional (PAN), como Movimiento Ciudadano (MC) y el senador independiente, Emilio Álvarez solicitaron que se respetará el acuerdo y se sometiera a votación la terna. En su intervención, Álvarez Icaza recordó que el periodo del actual presidente de la Comisión Luis Raúl González Pérez, concluye el próximo 15 de noviembre y advirtió que de acuerdo con la Ley de la CNDH, el Senado debe asignar al próximo titular del organismo diez días antes de la conclusión de la administración de González Pérez. En ese sentido, el senador aseguró que la Cámara Alta no está acatando la ley de la CNDH al incumplir con el plazo establecido. kg  |
2|05 de noviembre de 2019, 14:56|Senadores rechazan nuevamente regular autos chocolate|               Los senadores volvieron a decir no al artículo transitorio que la Cámara de Diputados añadió a la Ley de Ingresos de la Federación (LIF) para el 2020, con el cual buscaba regular los denominados autos chocolate que transitan en el país. Durante la tarde del martes, la Cámara Alta votó con tres votos a favor, 108 en contra y cero abstenciones el artículo decimoquinto transitorio, con lo cual queda definitivamente descartado. La discusión se llevó sin participantes y los senadores pasaron a votar en cuestión de minutos. El artículo transitorio fue propuesto por Morena en dos ocasiones durante su discusión en la Cámara de Diputados, mientras que en el Senado la bancada de Morena y otros grupos parlamentarios votaron en contra de dicho transitorio. “Senadores y senadoras de la República, esta es una problemática real y que debemos enfrentar como representantes populares; atenderla, no evadirla; ser sensibles con las familias que no han tenido las condiciones económicas para adquirir un automóvil nacional y que han optado con sus pocos ahorros y mucho esfuerzo por comprar un automóvil chocolate, ya que ha sido esta la opción más económica disponible”, indicó Teresita de Jesús Vargas, de Morena, la semana pasada. No obstante, el lunes pasado Ricardo Monreal, senador de Morena, adelantó que el artículo transitorio se eliminaría. “Es previsible que en la Cámara de Senadores, porque me lo han dicho los coordinadores, mantengan su postura de eliminar el referido decimoquinto transitorio”. Con lo aprobado este martes, el Senado remite al Ejecutivo federal la ley de ingresos para el siguiente año con lo aprobado por ambas cámaras. Ahora, se esperará su publicación en el Diario Oficial de la Federación. Lo aprobado por ambas cámaras prevé que el próximo año el gobierno obtenga recursos por 6 billones 107,732 millones de pesos, lo que supone 11,396 millones de pesos más respecto a la propuesta que entregó la Secretaría de Hacienda y Crédito Público en septiembre pasado, que era por 6 billones 96,335 millones. Si bien el tema de los autos chocolate quedó fuera de la LIF, en días pasados Ricardo Monreal indicó que pedirán a las autoridades que tomen acciones para solucionar este problema. “El problema es serio, y como Cámara revisora tenemos que actuar con mucha prudencia, para mantener la planta productiva y para mantener la industria en acenso”, aseguró. Agregó que le plantearían tanto a la Secretaría de Hacienda como al Servicio de Administración Tributaria que estos vehículos que ya circulan en México puedan ser regularizados y, de esta manera, paguen impuestos, tengan una identificación y un número de placas. Desde que se anunció la medida, miembros de la industria automotriz se quejaron, ya que preveían un impacto en la venta de automóviles nuevos y refirieron que el erario público tendría una pérdida recaudatoria de aproximadamente 50,000 millones de pesos. “Muchos empleos están en juego. El crecimiento de la economía está en juego, y lo que no podemos, lo seguiremos repitiendo hasta el cansancio, es legalizar lo ilegal”, aseveró en su momento Guillermo Prieto, presidente de la Asociación Nacional de Distribuidores de Automotores.  |
3|03 de noviembre de 2019, 17:26|Con impugnaciones, arranca gobierno de Bonilla|                  Mexicali. Luego de que Jaime Bonilla Valdez rindió protesta como gobernador de Baja California por un periodo de cinco años, el pasado viernes 1 de noviembre, se mantienen las críticas de opositores y las impugnaciones ante la Suprema Corte de Justicia de la Nación (SCJN), a fin de dar marcha atrás a la ampliación de mandato del morenista. En los primeros minutos del 1 de noviembre, Bonilla juró como titular del Ejecutivo estatal por cinco años -como señala la llamada “Ley Bonilla”- y no dos, ante el Congreso local y de la secretaria de Gobernación, Olga Sánchez Cordero, en representación del presidente Andrés Manuel López Obrador. Durante el acto, dijo que respetará la decisión de la Suprema Corte sobre la duración de su mandato. Tras haber tomado protesta a los integrantes de su gabinete, el morenista afirmó que los gobiernos panistas de la entidad heredaron deudas acumuladas por más de 30,000 millones de pesos, como resultado del desorden financiero y desvío de recursos. Bonilla, quien asumió el cargo en medio de impugnaciones presentadas ante la SCJN por la ampliación del periodo, enfrenta críticas de partidos de oposición y consejeros electorales del Instituto Nacional Electoral (INE), así como cúpulas empresariales, por defender la “Ley Bonilla” aprobada por el Congreso local, que le permitiría gobernar hasta el 2024. Por su parte, la titular de la Secretaría de Gobernación, Sánchez Cordero, calificó como “legal” la toma de protesta de Bonilla por cinco años, al ser cuestionada sobre el tema en el marco del evento. La funcionaria resaltó que el Congreso local está facultado para emitir las normas, por lo que resulta legal, mientras que la Suprema Corte será la que convalide o no la decisión de ampliar el periodo de gobierno. En tanto, el presidente de la SCJN, Arturo Zaldívar, dijo que este órgano decidirá en su momento sobre la constitucionalidad de la llamada "Ley Bonilla". En su cuenta de Twitter @ArturoZaldivarL, añadió que la determinación se tomará "con total independencia y libertad de cada uno de sus integrantes". El ministro señaló lo anterior luego de que se difundió en redes sociales un video en el que la secretaria de Gobernación, Olga Sánchez Cordero, aparece en una reunión con el gobernador Bonilla y opina que "va a pervivir" la norma vigente aprobada por el Congreso de Baja California. Como se recordará, el pasado jueves, el INE interpuso una acción de inconstitucionalidad ante la SCJN contra la “Ley Bonilla”, mientras que esta instancia admitió a trámite el mismo recurso presentado por el Partido de Baja California. Las impugnaciones se suman a las promovidas por el PAN, PRD, PRI y Movimiento Ciudadano, las cuales también fueron aceptadas por el máximo tribunal de justicia del país. Además, el lunes 21 de octubre, el gobierno estatal que encabezó el panista Francisco Vega de Lamadrid hasta el 31 del mismo mes, presentó una controversia constitucional contra la ley citada, en la que pedía que el asunto se resolviera antes de la toma de posesión. Por su lado, la Confederación Patronal de la República Mexicana (Coparmex) en Baja California, señaló que interpondrá un amparo en cada municipio en donde tiene presencia: Tijuana, Mexicali y Ensenada, contra la “Ley Bonilla”. Mientras, los excandidatos a la gubernatura de Baja California, Oscar Vega Marín, del PAN, y Jaime Martínez Veloz, del PRD, en entrevista con Notimex, expresaron su confianza en que prospere el recurso "Amicus Curiae" -Amigos de la Corte- que promovieron ante la Suprema Corte de Justicia en contra de la citada ley. kg  |
4|03 de noviembre de 2019, 15:48|Morena no pasó la prueba del ácido|           Morena no pasó su primera prueba de fuego, el Tribunal Electoral del Poder Judicial de la Federación (TEPJF) invalidó la convocatoria para renovar la dirigencia nacional.  Yeidckol Polevnsky fue incapaz de organizar una elección apegada al marco estatutario de su partido, el TEPJE consideró que Morena violentó el derecho de asociación de los simpatizantes y adherentes de su partido al cerrar la incorporación al padrón. En sus tres años de vida política fue capaz de ganar la presidencia de la república, pero no pudo elaborar un padrón confiable, tarea que le fue impuesta el exsecretario de organización de ese partido Gabriel García, del mismo que hoy dependen los servidores públicos de la nación. Dicha estructura es la apuesta del presidente Andrés Manuel López Obrador para retener las mayorías en el Congreso y lograr los votos necesarios en la polémica revocación del mandato. La dirigencia encabezada por Polevnsky no pasó la prueba del ácido de la democracia partidista, fue incapaz de salvaguardar los derechos de sus asociados para renovar su dirigencia partidista, así como de elaborar un padrón validado por el Instituto Nacional Electoral (INE).  Las voces en Morena, entre ellas la de Bertha Luján, insinúan que hubo mano de negra en la resolución número SUPRA 1573/2019, promovida entre otros por el senador suplente Alejandro Rojas Díaz Duran; sin embargo, la resolución es muy clara, no se pueden suspender los derechos de libre afiliación y libre asociación, son derechos humanos establecidos en la constitución, que no están al arbitrio de partido político alguno. Sería útil que la dirigencia acate la decisión del TEPJF y se ponga a trabajar en elaborar un padrón partidista confiable. De lo contrario muchos reveses sufrirá su proceso de renovación partidista, sobre todo considerando la propensión de su militancia para interponer recursos jurídicos ante el Tribunal Electoral. El senador suplente Alejandro Rojas Díaz Duran logró evidenciar las triquiñuelas de la nomenclatura morenista en su afán por conservar la dirigencia nacional. La nomenclatura se muestra fracturada, Polevnsky tuvo fricciones con todos los que pudo, fueron notables sus diferencias con Mario Delgado, con Bertha Luján y su antiguo empleado Gabriel García. Habrá que esperar qué se decide para rescatar ese partido, alternativas hay muchas, lo que no se ve son ganas abrir espacios democráticos. El brazo político de AMLO nomás no termina de despegar. El mismo AMLO amenazó con irse de su partido ante el agandalle morenista ¿será que quiera hacer otro? El caos político se cierne sobre Morena.  |
5|03 de noviembre de 2019, 10:52|El TEPJF actuó por consigna al revocar elección interna en Morena: Bertha Luján|                             |
6|01 de noviembre de 2019, 13:35|Nuevos ingresos de trabajadores en el gobierno de la CDMX ya no serán sindicalizados |         La nueva Constitución de la Ciudad de México, en su apartado laboral, contempla que los trabajadores de nuevo ingreso que entren a laborar en cualquier estructura administrativa del gobierno de la capital del país a partir del 1 de enero ya no serán sindicalizados, denunció el secretario general del SUTPJ-CDMX y representante de la FSTSE ante el Gobierno de la Ciudad de México en el área laboral, Diego Valdez Medina. Explicó que la Ley Orgánica Laboral de los Derechos Laborales, contemplada en la Constitución de la CDMX cita que cualquier trabajador, que a partir del 1 de enero de 2020 entre a laborar al gobierno capitalino, lo hará bajo la condición de “empleado de confianza”, lo que le impedirá contar con sus derechos humanos, al negarle la seguridad en el empleo y la seguridad social integral que todo trabajador el servicio del Estado tiene por ley. Valdéz Medina advirtió que en estos momentos “están en juego esos derechos para los futuros trabajadores del gobierno de la Ciudad de México en cualquiera de sus estructuras administrativas debido a lo cual hemos buscado el apoyo del presidente de la Comisión de Procuración y Administración de Justicia de la Cámara de Diputados local, diputado Eduardo Santillán, con el fin de reformar los Artículos que podrían afectar la vida laboral de los próximos empleados”.  Hizo saber que además de perjudicar a los futuros trabajadores del Tribunal Superior de Justicia de la CDMX, se afectaría a sindicatos como el SUTGDF que agrupa a más de 130,000 empleados, al Sindicato del Metro, a los trabajadores del Tribunal de lo Contencioso e incluso de la propia Cámara de Diputados Local. Ante este riesgo en el renglón de los derechos laborales, Valdéz Medina llamó a las dirigencias de los sindicatos citados a reunirse para enfrentar de una mejor manera esta situación. Más adelante destacó que “tienen confianza en que la bancada de Morena en la Cámara de Diputados local, con el apoyo del legislador Eduardo Santillán, den marcha atrás a lo dispuesto en la Ley Orgánica en materia laboral para la Ciudad de México”.  rrg  |
7|29 de octubre de 2019, 22:55|Al pleno, recorte de 50% a bolsa para los partidos|               La Cámara de Diputados aprobó, en comisiones, la reforma constitucional que reduciría a la mitad el financiamiento público asignado a los partidos políticos con registro nacional; el dictamen se someterá a discusión y votación por parte del pleno cameral la próxima semana. El cambio al Artículo 41 constitucional fue avalado, en reunión de la Comisión de Puntos Constitucionales, solamente por 17 legisladores de los grupos parlamentarios de los partidos Movimiento Regeneración Nacional (Morena), la fuerza política mayoritaria, y Encuentro Social (PES); 14 panistas, priistas, perredistas, emecistas y hasta los pevemistas y petistas, que son los aliados del régimen, sufragaron en contra. Ello implica que la aprobación del decreto correspondiente no está garantizada en la Cámara Baja porque, al tratarse de una reforma constitucional, se requiere del voto de las dos terceras partes de los legisladores presentes al momento de su votación; es decir, de encontrarse en el recinto legislativo los 500 integrantes de la Cámara Baja se necesitaría el voto de 334 diputados federales a favor. Los diputados federales de Morena y PES sólo suman 284; 258 son morenistas y 26 pesistas. El Consejo General del Instituto Nacional Electoral aprobó destinar, en el 2020, 5,239 millones de pesos por concepto de financiamiento público a los siete partidos políticos nacionales con registro; la cifra es superior en 273 millones de pesos a lo asignado para el año en curso. De aprobarse el cambio constitucional referido, primero por las cámaras de Diputados y de Senadores y luego por al menos 17 congresos locales, la enmienda constitucional establecerá que el financiamiento público para el sostenimiento de las actividades ordinarias permanentes de los partidos políticos “se fijará anualmente, multiplicando el número total de ciudadanos inscritos en el padrón electoral” por 32.5% del valor diario de la Unidad de Medida y Actualización (UMA), antes salario mínimo diario. La fracción segunda, inciso a), del referido artículo vigente precisa que el monto de dicho financiamiento público resultará de multiplicar el número de empadronados por 65% del valor de la UMA. La distribución actual del financiamiento público no sufrirá modificación alguna: 30% del monto se seguirá distribuyendo entre los partidos políticos en forma igualitaria y 70% restante de acuerdo con el porcentaje de votos obtenido en la elección de diputados federales inmediata anterior. Aprobado el cambio constitucional, el Congreso de la Unión y las legislaturas de las entidades federativas contarían con un plazo no mayor de 60 días naturales, contabilizado a partir del día siguiente de su promulgación, para realizar las modificaciones normativas correspondientes, entre otras a la Ley General de Partidos Políticos. “En conclusión, esta comisión dictaminadora considera que, con este modelo constitucional en materia de financiamiento de partidos políticos, se disminuyen los recursos de origen público para dichos institutos, se incentiva el uso racional de los recursos y la confianza ciudadana, consiguiendo un sistema electoral que se adecue más a la realidad económica de nuestro país”, cita la exposición de motivos. Y que la enmienda tiene como finalidad generar ahorros al erario público. politica@eleconomista.mx  |
8|29 de octubre de 2019, 22:50|Por delitos graves, juicio al presidente|            Durante su encargo, el presidente de la República podrá ser acusado ya no sólo por traición a la patria, sino también por actos de corrupción, delitos electorales y aquellos que ameriten prisión preventiva oficiosa. Se podrá proceder penalmente en su contra, previo desafuero por parte de la Cámara de Diputados y presentación de la denuncia correspondiente del juicio político ante la Cámara de Senadores. El pleno de la Cámara de Diputados aprobó por 421 votos, 29 en contra y cinco abstenciones modificaciones a la minuta que reforman los artículos 108 y 111 de la Constitución, por lo que el dictamen fue devuelto a la Cámara de Senadores para una nueva revisión. La redacción del segundo párrafo del artículo 108 constitucional, tras la modificación acordada por los diputados federales a partir de los cambios previamente avalados por los senadores, establece: “El presidente de la República, durante el tiempo de su encargo, sólo podrá ser acusado por traición a la patria, actos de corrupción, delitos electorales y delitos contenidos en el segundo párrafo del artículo 19 de esta Constitución”. Y el cuarto párrafo del 111, cita: “Para proceder penalmente contra el presidente de la República, sólo habrá lugar a acusarlo ante la Cámara de Senadores en los términos del artículo 110. En este supuesto, la Cámara de Senadores resolverá con base en la legislación penal aplicable”. De acuerdo con lo mandatado por el segundo párrafo del artículo 19 constitucional, el juez ordenará la prisión preventiva oficiosamente en los casos de abuso o violencia sexual contra menores, delincuencia organizada, homicidio doloso, feminicidio, violación, secuestro, trata de personas, robo de casa habitación, uso de programas sociales con fines electorales, corrupción tratándose de los delitos de enriquecimiento ilícito y ejercicio abusivo de funciones, robo al transporte de carga en cualquiera de sus modalidades, delitos en materia de hidrocarburos, petrolíferos o petroquímicos, delitos en materia de desaparición forzada de personas y desaparición cometida por particulares, delitos cometidos con medios violentos como armas y explosivos, delitos en materia de armas de fuego y explosivos de uso exclusivo del Ejército, la Armada y la Fuerza Aérea, así como los delitos graves que determine la ley en contra de la seguridad de la nación, el libre desarrollo de la personalidad y de la salud. Al fundamentar el dictamen ante el pleno, Miroslava Carrillo Martínez (Morena), presidenta de la Comisión de Puntos Constitucionales, explicó que se consideró pertinente confeccionar la enmienda tal como fue propuesta originalmente por el presidente Andrés Manuel López Obrador a la Cámara de Senadores. La Cámara de Diputados aprobó, por otra parte, en comisiones y sin cambios, la minuta recibida de la Cámara de Senadores que reforma la Constitución en materia de consulta popular y revocación de mandato presidencial, cuyo dictamen se someterá a discusión y votación la próxima semana. rramos@eleconomista.com.mx  |
9|29 de octubre de 2019, 22:39|Ataque armado contra alcalde de Valle de Chalco|               Luego de sufrir un ataque armado directo, el presidente municipal de Valle de Chalco, Estado de México, Francisco Tenorio Contreras (Morena), fue reportado como grave de salud. De acuerdo con el fiscal del Estado de México, Alejandro Gómez Sánchez, el alcalde Tenorio Contreras concluía un recorrido por un fraccionamiento habitacional del municipio, cuando un par de jóvenes le pidieron al funcionario una fotografía, la cual se tomaron. Posteriormente, el munícipe, su secretario particular, Carlos Alberto y el chofer subieron a una camioneta, hasta donde se acercó uno de los dos jóvenes con los que Tenorio se había tomado una fotografía, ahora para pedir un aventón. Al reconocerlo, el alcalde accedió a subirlo al vehículo y continuaron la marcha, pero unos metros adelante el joven pidió que tomaran por una calle, situación que rechazó el edil. En ese momento, el joven accionó una arma de fuego directamente hacia la cabeza de Tenorio Contreras, y luego contra su secretario particular. Tras reponerse del suceso, el chofer condujo hacia el hospital Fernando Quiroz de Chalco, y posteriormente se trasladó a otro de alta especialidad de Ixtapaluca, donde el estado de salud del alcalde se reportaba como grave. El fiscal del Estado de México, Alejandro Gómez Sánchez, confirmó que las fotografías que circularon en redes sociales corresponden a los agresores del edil y su secretario particular. El gobernador Alfredo del Mazo condenó el ataque y ordenó agilizar las investigaciones. Elementos de la fiscalía estatal levantaron imágenes de las cámaras de seguridad cercanas a los hechos y realizaron estudios de dactiloscopía. El fiscal confirmó que el alcalde había recibido amenazas de muerte, por lo que no se descarta ninguna línea de investigación. La falta de tareas de inteligencia preventivas para proteger a los políticos de nivel local preocupa y refleja la vulnerabilidad que éstos tienen ante las agresiones y amenazas de las que pueden ser víctimas, consideró Rubén Salazar, director de la consultoría de riesgos Etellekt. En relación con el reciente ataque contra el presidente municipal de Valle de Chalco, Francisco Tenorio Contreras, el experto en violencia contra políticos recordó que el edil ya había denunciado amenazas por parte de grupos de la delincuencia organizada. “Ya tenían una situación de amenaza desde el 1 de marzo por parte de grupos delictivos, él denuncio públicamente que estaba siendo objeto de extorsión y amenazas de muerte y la pregunta es ¿qué está haciendo la autoridad para prevenir que estos atentados terminen con la vida de autoridades electas cuando ya se tenía información de que estaban siendo amenazados?”, cuestionó Salazar. El director de Etellekt agregó que actualmente no sólo los grupos de la delincuencia organizada son los generadores de las agresiones y amenazas contra políticos, porque los patrones de los ataques han reflejado que la mayor parte de los políticos agredidos son de oposición a los partidos que gobiernan a nivel estatal, lo que podría indicar la existencia de mafias políticas locales que también generan este tipo de violencia. Además, agregó, llama la atención que en un año que no tiene carga electoral se contabilicen por lo menos cinco alcaldes asesinados, dos de ellos amenazados de manera previa, lo que indica una tendencia preocupante y refleja la vulnerabilidad que tienen las autoridades a nivel local, aunado a una debilidad en sus esquemas de seguridad. “Las labores de inteligencia en estos casos ya llevan varios años, donde no se reflejan en tareas o acciones preventivas. Ninguno de estos alcaldes, aun cuando ya se sabe que habían sido amenazados, algunos incluso desde hace años, logran acceder a protocolos o medidas cautelares de protección, como ocurre con otros sectores como los periodistas”, expuso.  |
